study_key,study_id_column,source_file_column,n_rows,n_columns,study_id,source_file,title,citation_or_author,year_min,year_max,years,season_column,n_non_missing_season,n_unique_season,season_values,district_column,n_non_missing_district,n_unique_district,district_values,site_column,n_non_missing_site,n_unique_site,site_values,province_column,n_non_missing_province,n_unique_province,province_values,municipality_column,n_non_missing_municipality,n_unique_municipality,municipality_values,agroecology_column,n_non_missing_agroecology,n_unique_agroecology,agroecology_values,treatment_group_column,n_non_missing_treatment_group,n_unique_treatment_group,treatment_group_values,variety_column,n_non_missing_variety,n_unique_variety,variety_values,grain_yield_column,n_non_missing_grain_yield,n_unique_grain_yield,grain_yield_median,grain_yield_min,grain_yield_max,grain_yield_values,n_rate_column,n_non_missing_n_rate,n_unique_n_rate,n_rate_median,n_rate_min,n_rate_max,n_rate_values,p_rate_column,n_non_missing_p_rate,n_unique_p_rate,p_rate_median,p_rate_min,p_rate_max,p_rate_values,k_rate_column,n_non_missing_k_rate,n_unique_k_rate,k_rate_median,k_rate_min,k_rate_max,k_rate_values,latitude_column,n_non_missing_latitude,n_unique_latitude,latitude_median,latitude_min,latitude_max,latitude_values,longitude_column,n_non_missing_longitude,n_unique_longitude,longitude_median,longitude_min,longitude_max,longitude_values,soil_ph_column,n_non_missing_soil_ph,n_unique_soil_ph,soil_ph_values,soil_organic_column,n_non_missing_soil_organic,n_unique_soil_organic,soil_organic_values,soil_n_column,n_non_missing_soil_n,n_unique_soil_n,soil_n_values,soil_p_column,n_non_missing_soil_p,n_unique_soil_p,soil_p_values,soil_k_column,n_non_missing_soil_k,n_unique_soil_k,soil_k_values,has_yield,has_coordinates,has_n_rate,has_treatment_group,has_season,has_district,missing_core_fields,check_status
14.gautam_2022_nslowrelease_m_n,source_id,source_file,21,599,14.gautam_2022_nslowrelease_m_n,,,,2020.0,2020.0,2020.0,season,21,1,spring,district,21,1,Dang,site,21,1,Bodhipur,province,0,0,,municipality,0,0,,agroecology,0,0,,treatment_group,0,0,,variety_name_std,7,1,general,grain_yield_Mg_ha,7,7,5.25,2.85,6.39,,N_rate_kg_ha,0,0,,,,,P2O5_rate_kg_ha,0,0,,,,,K2O_rate_kg_ha,0,0,,,,,latitude,21,1,27.826043,27.826043,27.826043,,longitude,21,1,82.539683,82.539683,82.539683,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,True,True,False,False,True,True,n_rate; treatment_group,review_core_fields
47.bhatt_2020_fert-manure_m_n,source_id,source_file,8,599,47.bhatt_2020_fert-manure_m_n,,,,2020.0,2020.0,2020,season,8,1,maize,district,0,0,,site,0,0,,province,0,0,,municipality,0,0,,agroecology,0,0,,treatment_group,0,0,,variety_name_std,8,1,Rampur Composite,grain_yield_Mg_ha,0,0,,,,,N_rate_kg_ha,8,4,45.0,0.0,120.0,,P2O5_rate_kg_ha,0,0,,,,,K2O_rate_kg_ha,0,0,,,,,latitude,8,1,27.65,27.65,27.65,,longitude,8,1,84.35,84.35,84.35,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,False,True,True,False,True,False,grain_yield; treatment_group; district,review_core_fields
3.amgain_2023_ne_m_n | 7.+Lal+P.+Amgain+(1).pdf,source_id,source_file,54,599,3.amgain_2023_ne_m_n,7.+Lal+P.+Amgain+(1).pdf,,,2021.0,2021.0,2021,season,54,1,spring,district,54,1,Kailali,site,54,3,Janaki Rural Municipality; Lamkichuha Municipality; Tikapur Municipality,province,54,1,Sudurpashchim / Far Western,municipality,54,3,Janaki Rural Municipality; Lamkichuha Municipality; Tikapur Municipality,agroecology,0,0,,treatment_group,54,3,nutrient_omission; nutrient_omission_reference; recommendation,variety_name_std,0,0,,grain_yield_Mg_ha,54,53,5.68,1.93,10.78,,N_rate_kg_ha,0,0,,,,,P2O5_rate_kg_ha,0,0,,,,,K2O_rate_kg_ha,0,0,,,,,latitude,54,21,28.6057,28.5226,28.6402,,longitude,54,21,81.1473,81.1118,81.2025,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,True,True,False,True,True,True,n_rate,review_core_fields
48.yadav_2024_fert-manure_m_n,source_id,source_file,8,599,48.yadav_2024_fert-manure_m_n,,,,2021.0,2021.0,2021,season,8,1,maize,district,8,1,Chitwan,site,8,1,"Khairahani, Chitwan",province,0,0,,municipality,0,0,,agroecology,0,0,,treatment_group,0,0,,variety_name_std,8,1,Arun-2,grain_yield_Mg_ha,0,0,,,,,N_rate_kg_ha,8,2,0.0,0.0,120.0,,P2O5_rate_kg_ha,8,2,0.0,0.0,60.0,,K2O_rate_kg_ha,8,2,0.0,0.0,40.0,,latitude,8,1,27.65,27.65,27.65,,longitude,8,1,84.35,84.35,84.35,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,False,True,True,False,True,True,grain_yield; treatment_group,review_core_fields
31.dotel_2025_nrate-nslowrelease_m_n,source_id,source_file,8,599,31.dotel_2025_nrate-nslowrelease_m_n,,,,2023.0,2023.0,2023,season,8,1,spring,district,8,1,Morang,site,8,1,"Gothgaun, Sundarharaicha",province,0,0,,municipality,0,0,,agroecology,0,0,,treatment_group,0,0,,variety_name_std,8,1,Rampur Composite,grain_yield_Mg_ha,0,0,,,,,N_rate_kg_ha,8,6,105.0,0.0,240.0,,P2O5_rate_kg_ha,8,2,60.0,0.0,60.0,,K2O_rate_kg_ha,8,2,40.0,0.0,40.0,,latitude,8,1,26.661111,26.661111,26.661111,,longitude,8,1,87.352778,87.352778,87.352778,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,False,True,True,False,True,True,grain_yield; treatment_group,review_core_fields
36.shrestha_azotobacter-fert-var_m_n | 07_7469_H2.pdf,source_id,source_file,15,599,36.shrestha_azotobacter-fert-var_m_n,07_7469_H2.pdf,,,2023.0,2023.0,2023,season,15,1,spring,district,15,1,Nawalpur,site,15,1,"Gaindakot, Nawalpur",province,0,0,,municipality,0,0,,agroecology,0,0,,treatment_group,15,5,Azoto; Azoto + FYM; Azoto + NPK; Control; FYM,variety_name_std,15,3,Local Pahelo; Rampur Composite; Rampur Hybrid-14,grain_yield_Mg_ha,0,0,,,,,N_rate_kg_ha,15,2,0.0,0.0,120.0,,P2O5_rate_kg_ha,15,2,0.0,0.0,60.0,,K2O_rate_kg_ha,15,2,0.0,0.0,40.0,,latitude,15,1,27.73333333333333,27.73333333333333,27.73333333333333,,longitude,15,1,84.33333333333333,84.33333333333333,84.33333333333333,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,False,True,True,True,True,True,grain_yield,review_core_fields
37.sigdel_psb-npk_m_n,source_id,source_file,7,599,37.sigdel_psb-npk_m_n,,,,2024.0,2024.0,2024,season,7,1,summer maize,district,7,1,Kaski,site,7,1,"Puranchaur, Pokhara Metropolitan City",province,0,0,,municipality,0,0,,agroecology,0,0,,treatment_group,0,0,,variety_name_std,7,1,Arun-2,grain_yield_Mg_ha,0,0,,,,,N_rate_kg_ha,7,2,120.0,0.0,120.0,,P2O5_rate_kg_ha,7,5,60.0,0.0,80.0,,K2O_rate_kg_ha,7,2,60.0,0.0,60.0,,latitude,7,1,28.34530798891624,28.34530798891624,28.34530798891624,,longitude,7,1,83.97315120726705,83.97315120726705,83.97315120726705,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,False,True,True,False,True,True,grain_yield; treatment_group,review_core_fields
50.neupane_2024_biofert_m_n,source_id,source_file,7,599,50.neupane_2024_biofert_m_n,,,,2024.0,2024.0,2024,season,7,1,spring maize,district,7,1,Morang,site,7,1,Morang,province,0,0,,municipality,0,0,,agroecology,0,0,,treatment_group,0,0,,variety_name_std,7,1,CP-808,grain_yield_Mg_ha,0,0,,,,,N_rate_kg_ha,7,2,0.0,0.0,120.0,,P2O5_rate_kg_ha,7,2,0.0,0.0,60.0,,K2O_rate_kg_ha,7,2,0.0,0.0,40.0,,latitude,7,1,26.61029636229869,26.61029636229869,26.61029636229869,,longitude,7,1,87.47574202736499,87.47574202736499,87.47574202736499,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,False,True,True,False,True,True,grain_yield; treatment_group,review_core_fields
51.nayak_2024_ssnm_m_n,source_id,source_file,6,599,51.nayak_2024_ssnm_m_n,,,,2024.0,2024.0,2024,season,6,1,spring 2023,district,6,1,Kailali,site,6,1,"Tikapur Municipality; wards 1 Bangaun, 3 Katanpur, 4 Asneri, 6 Narayanpur",province,0,0,,municipality,0,0,,agroecology,0,0,,treatment_group,0,0,,variety_name_std,0,0,,grain_yield_Mg_ha,0,0,,,,,N_rate_kg_ha,0,0,,,,,P2O5_rate_kg_ha,0,0,,,,,K2O_rate_kg_ha,0,0,,,,,latitude,6,1,28.5,28.5,28.5,,longitude,6,1,81.108333,81.108333,81.108333,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,False,True,False,False,True,True,grain_yield; n_rate; treatment_group,review_core_fields
53.timilsina_2025_lcc-tillage_m_n,source_id,source_file,8,599,53.timilsina_2025_lcc-tillage_m_n,,,,2025.0,2025.0,2025,season,8,1,winter 2016/2017,district,8,1,Chitwan,site,8,1,"National Maize Research Program (NMRP), Rampur",province,0,0,,municipality,0,0,,agroecology,0,0,,treatment_group,0,0,,variety_name_std,0,0,,grain_yield_Mg_ha,0,0,,,,,N_rate_kg_ha,0,0,,,,,P2O5_rate_kg_ha,0,0,,,,,K2O_rate_kg_ha,0,0,,,,,latitude,8,1,27.666667,27.666667,27.666667,,longitude,8,1,84.316667,84.316667,84.316667,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,False,True,False,False,True,True,grain_yield; n_rate; treatment_group,review_core_fields
54.pandey_2025_tillage-fert-fym_m_n,source_id,source_file,6,599,54.pandey_2025_tillage-fert-fym_m_n,,,,2025.0,2025.0,2025,season,6,1,March-July 2022,district,6,1,Lamjung,site,6,1,"Lamjung Campus, Sundarbazar municipality",province,0,0,,municipality,0,0,,agroecology,0,0,,treatment_group,0,0,,variety_name_std,6,1,general,grain_yield_Mg_ha,0,0,,,,,N_rate_kg_ha,0,0,,,,,P2O5_rate_kg_ha,0,0,,,,,K2O_rate_kg_ha,0,0,,,,,latitude,6,1,28.116667,28.116667,28.116667,,longitude,6,1,84.416667,84.416667,84.416667,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,False,True,False,False,True,True,grain_yield; n_rate; treatment_group,review_core_fields
55.ghimire_2025_nrate_m_n,source_id,source_file,7,599,55.ghimire_2025_nrate_m_n,,,,2025.0,2025.0,2025,season,7,1,25 February 2024 to 27 June 2024,district,7,1,Jhapa,site,7,1,Bhadrapur-7 farmer field,province,0,0,,municipality,0,0,,agroecology,0,0,,treatment_group,0,0,,variety_name_std,0,0,,grain_yield_Mg_ha,0,0,,,,,N_rate_kg_ha,0,0,,,,,P2O5_rate_kg_ha,0,0,,,,,K2O_rate_kg_ha,0,0,,,,,latitude,7,1,26.541944,26.541944,26.541944,,longitude,7,1,88.094444,88.094444,88.094444,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,False,True,False,False,True,True,grain_yield; n_rate; treatment_group,review_core_fields
0_carob_base_m_n | carob_agronomy-cc.csv,source_id,source_file,3,599,0_carob_base_m_n,carob_agronomy-cc.csv,,,,,,season,0,0,,district,0,0,,site,0,0,,province,0,0,,municipality,0,0,,agroecology,0,0,,treatment_group,0,0,,variety_name_std,0,0,,grain_yield_Mg_ha,0,0,,,,,N_rate_kg_ha,3,2,150.0,0.0,150.0,,P2O5_rate_kg_ha,3,2,89.82288,0.0,89.82288,,K2O_rate_kg_ha,3,2,99.9818,0.0,99.9818,,latitude,3,2,26.5837354,26.5837354,26.6729,,longitude,3,2,87.885701,87.6767,87.885701,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,False,True,True,False,False,False,grain_yield; treatment_group; season; district,review_core_fields
11.sherchan_1999_fert-manure_mwr_n,source_id,source_file,8,599,11.sherchan_1999_fert-manure_mwr_n,,,,,,,season,0,0,,district,8,1,Dhankuta,site,8,1,Pakhribas Agricultural Centre South Farm,province,0,0,,municipality,0,0,,agroecology,0,0,,treatment_group,8,8,fertilizer_alone; manure_high; manure_high_plus_topdress_N; manure_lime_plus_topdress_N; manure_low; manure_low_plus_topdress_N; manure_plus_NK; manure_plus_NP,variety_name_std,8,1,general,grain_yield_Mg_ha,8,7,2.6264,1.979,3.2348,,N_rate_kg_ha,0,0,,,,,P2O5_rate_kg_ha,0,0,,,,,K2O_rate_kg_ha,0,0,,,,,latitude,8,1,27.283333,27.283333,27.283333,,longitude,8,1,87.283333,87.283333,87.283333,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,True,True,False,True,False,True,n_rate; season,review_core_fields
17.adhikary_2007_fert-lime_m_n,source_id,source_file,16,599,17.adhikary_2007_fert-lime_m_n,,,,,,,season,16,1,summer,district,16,2,Palpa; Tanahun,site,16,2,Tansen outreach site; Vyash outreach site,province,0,0,,municipality,16,2,Tansen; Vyash,agroecology,0,0,,treatment_group,0,0,,variety_name_std,16,2,Local; Manakamana-1,grain_yield_Mg_ha,16,16,2.685,1.35,5.1,,N_rate_kg_ha,0,0,,,,,P2O5_rate_kg_ha,0,0,,,,,K2O_rate_kg_ha,0,0,,,,,latitude,16,2,27.933730839729076,27.867031769485173,28.00042990997298,,longitude,16,2,83.91101610956107,83.53126915536902,84.29076306375313,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,True,True,False,False,True,True,n_rate; treatment_group,review_core_fields
21.shrestha_2013_water-soilfert_mw_n,source_id,source_file,1,599,21.shrestha_2013_water-soilfert_mw_n,,,,,,,season,0,0,,district,0,0,,site,0,0,,province,0,0,,municipality,0,0,,agroecology,0,0,,treatment_group,0,0,,variety_name_std,0,0,,grain_yield_Mg_ha,0,0,,,,,N_rate_kg_ha,0,0,,,,,P2O5_rate_kg_ha,0,0,,,,,K2O_rate_kg_ha,0,0,,,,,latitude,0,0,,,,,longitude,0,0,,,,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,False,False,False,False,False,False,grain_yield; n_rate; treatment_group; season; district,review_core_fields
23.shrestha_2018_n-density_m_n,source_id,source_file,15,599,23.shrestha_2018_n-density_m_n,,,,,,2006-2007,season,15,1,winter,district,15,1,Chitwan,site,15,1,"Mangalpur VDC-3, Anandapur, Chitwan",province,0,0,,municipality,0,0,,agroecology,0,0,,treatment_group,0,0,,variety_name_std,15,1,Rampur Composite,grain_yield_Mg_ha,0,0,,,,,N_rate_kg_ha,15,5,100.0,0.0,200.0,,P2O5_rate_kg_ha,0,0,,,,,K2O_rate_kg_ha,0,0,,,,,latitude,15,1,27.616667,27.616667,27.616667,,longitude,15,1,84.416667,84.416667,84.416667,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,False,True,True,False,True,True,grain_yield; treatment_group,review_core_fields
24.pandit_2016_biochar_m_n,source_id,source_file,1,599,24.pandit_2016_biochar_m_n,,,,,,,season,0,0,,district,0,0,,site,0,0,,province,0,0,,municipality,0,0,,agroecology,0,0,,treatment_group,0,0,,variety_name_std,0,0,,grain_yield_Mg_ha,0,0,,,,,N_rate_kg_ha,0,0,,,,,P2O5_rate_kg_ha,0,0,,,,,K2O_rate_kg_ha,0,0,,,,,latitude,0,0,,,,,longitude,0,0,,,,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,False,False,False,False,False,False,grain_yield; n_rate; treatment_group; season; district,review_core_fields
27.sapkota_2017_nprate_m_n,source_id,source_file,8,599,27.sapkota_2017_nprate_m_n,,,,,,,season,8,1,winter,district,8,1,Chitwan,site,8,1,"National Maize Research Program, Rampur",province,0,0,,municipality,0,0,,agroecology,0,0,,treatment_group,0,0,,variety_name_std,8,1,general,grain_yield_Mg_ha,0,0,,,,,N_rate_kg_ha,0,0,,,,,P2O5_rate_kg_ha,0,0,,,,,K2O_rate_kg_ha,0,0,,,,,latitude,8,1,27.65,27.65,27.65,,longitude,8,1,84.35,84.35,84.35,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,False,True,False,False,True,True,grain_yield; n_rate; treatment_group,review_core_fields
30.karki_2014_notill_m_n,source_id,source_file,1,599,30.karki_2014_notill_m_n,,,,,,,season,0,0,,district,0,0,,site,0,0,,province,0,0,,municipality,0,0,,agroecology,0,0,,treatment_group,0,0,,variety_name_std,0,0,,grain_yield_Mg_ha,0,0,,,,,N_rate_kg_ha,0,0,,,,,P2O5_rate_kg_ha,0,0,,,,,K2O_rate_kg_ha,0,0,,,,,latitude,0,0,,,,,longitude,0,0,,,,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,False,False,False,False,False,False,grain_yield; n_rate; treatment_group; season; district,review_core_fields
34.dahal_2014_ca-weeds_m_n,source_id,source_file,1,599,34.dahal_2014_ca-weeds_m_n,,,,,,,season,0,0,,district,0,0,,site,0,0,,province,0,0,,municipality,0,0,,agroecology,0,0,,treatment_group,0,0,,variety_name_std,0,0,,grain_yield_Mg_ha,0,0,,,,,N_rate_kg_ha,0,0,,,,,P2O5_rate_kg_ha,0,0,,,,,K2O_rate_kg_ha,0,0,,,,,latitude,0,0,,,,,longitude,0,0,,,,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,False,False,False,False,False,False,grain_yield; n_rate; treatment_group; season; district,review_core_fields
35.rawal_2021_npkrates_n_n,source_id,source_file,9,599,35.rawal_2021_npkrates_n_n,,,,,,2019-2020 pooled,season,9,1,monsoon,district,9,1,Lalitpur,site,9,1,"Khumaltar, Lalitpur",province,0,0,,municipality,0,0,,agroecology,0,0,,treatment_group,0,0,,variety_name_std,9,1,Khumal Hybrid Maize-2,grain_yield_Mg_ha,0,0,,,,,N_rate_kg_ha,3,3,180.0,150.0,210.0,,P2O5_rate_kg_ha,3,3,60.0,40.0,80.0,,K2O_rate_kg_ha,3,3,60.0,40.0,80.0,,latitude,9,1,27.65,27.65,27.65,,longitude,9,1,85.33,85.33,85.33,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,False,True,True,False,True,True,grain_yield; treatment_group,review_core_fields
38.khanal_2017_ne_m_n,source_id,source_file,2,599,38.khanal_2017_ne_m_n,,,,,,2015-2016,season,2,1,winter/spring maize,district,2,1,Jhapa,site,2,1,"Damak/Gauradaha, Jhapa",province,0,0,,municipality,0,0,,agroecology,0,0,,treatment_group,0,0,,variety_name_std,2,1,general,grain_yield_Mg_ha,0,0,,,,,N_rate_kg_ha,0,0,,,,,P2O5_rate_kg_ha,0,0,,,,,K2O_rate_kg_ha,0,0,,,,,latitude,2,1,26.58324386227032,26.58324386227032,26.58324386227032,,longitude,2,1,87.88818079964406,87.88818079964406,87.88818079964406,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,False,True,False,False,True,True,grain_yield; n_rate; treatment_group,review_core_fields
41.ghimire_2015_ssnm_m_n,source_id,source_file,5,599,41.ghimire_2015_ssnm_m_n,,,,,,,season,5,1,April-September 2011,district,5,1,Palpa,site,5,1,"Khasyoli VDC, Palpa district",province,0,0,,municipality,0,0,,agroecology,0,0,,treatment_group,0,0,,variety_name_std,5,1,general,grain_yield_Mg_ha,5,5,3.18,1.79,3.4,,N_rate_kg_ha,0,0,,,,,P2O5_rate_kg_ha,0,0,,,,,K2O_rate_kg_ha,0,0,,,,,latitude,5,1,27.866666666666667,27.866666666666667,27.866666666666667,,longitude,5,1,83.45,83.45,83.45,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,True,True,False,False,True,True,n_rate; treatment_group,review_core_fields
42.nepali_2020_biofer_m_n,source_id,source_file,7,599,42.nepali_2020_biofer_m_n,,,,,,,season,7,1,winter 2018/19,district,7,1,Chitwan,site,7,1,"AFU research farm, Rampur, Chitwan",province,0,0,,municipality,0,0,,agroecology,0,0,,treatment_group,0,0,,variety_name_std,7,1,general,grain_yield_Mg_ha,0,0,,,,,N_rate_kg_ha,0,0,,,,,P2O5_rate_kg_ha,0,0,,,,,K2O_rate_kg_ha,0,0,,,,,latitude,7,1,27.666666666666668,27.666666666666668,27.666666666666668,,longitude,7,1,84.31666666666666,84.31666666666666,84.31666666666666,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,False,True,False,False,True,True,grain_yield; n_rate; treatment_group,review_core_fields
44.pandit_2025_4r_m_n,source_id,source_file,16,599,44.pandit_2025_4r_m_n,,,,,,,season,0,0,,district,0,0,,site,0,0,,province,0,0,,municipality,0,0,,agroecology,0,0,,treatment_group,0,0,,variety_name_std,16,1,general,grain_yield_Mg_ha,0,0,,,,,N_rate_kg_ha,0,0,,,,,P2O5_rate_kg_ha,0,0,,,,,K2O_rate_kg_ha,0,0,,,,,latitude,16,1,28.23379,28.23379,28.23379,,longitude,16,1,82.823735,82.823735,82.823735,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,False,True,False,False,False,False,grain_yield; n_rate; treatment_group; season; district,review_core_fields
45.pal_2017_fert-manure_m_n,source_id,source_file,1,599,45.pal_2017_fert-manure_m_n,,,,,,,season,0,0,,district,0,0,,site,0,0,,province,0,0,,municipality,0,0,,agroecology,0,0,,treatment_group,0,0,,variety_name_std,0,0,,grain_yield_Mg_ha,0,0,,,,,N_rate_kg_ha,0,0,,,,,P2O5_rate_kg_ha,0,0,,,,,K2O_rate_kg_ha,0,0,,,,,latitude,0,0,,,,,longitude,0,0,,,,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,False,False,False,False,False,False,grain_yield; n_rate; treatment_group; season; district,review_core_fields
52.dhital_2023_fert-density_m_n,source_id,source_file,1,599,52.dhital_2023_fert-density_m_n,,,,,,,season,0,0,,district,0,0,,site,0,0,,province,0,0,,municipality,0,0,,agroecology,0,0,,treatment_group,0,0,,variety_name_std,0,0,,grain_yield_Mg_ha,0,0,,,,,N_rate_kg_ha,0,0,,,,,P2O5_rate_kg_ha,0,0,,,,,K2O_rate_kg_ha,0,0,,,,,latitude,0,0,,,,,longitude,0,0,,,,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,False,False,False,False,False,False,grain_yield; n_rate; treatment_group; season; district,review_core_fields
9.pokharel_2016_npkrate_m_n,source_id,source_file,6,599,9.pokharel_2016_npkrate_m_n,,,,,,,season,6,1,summer/rainy,district,6,1,Surkhet,site,6,1,Dasharathpur; Ramghat; Mehelkuna; Gumi,province,0,0,,municipality,6,1,Dasharathpur; Ramghat; Mehelkuna; Gumi,agroecology,0,0,,treatment_group,6,4,farmer_practice; nutrient_rate; nutrient_rate_lime; recommendation,variety_name_std,0,0,,grain_yield_Mg_ha,6,6,6.2415,4.174,6.802,,N_rate_kg_ha,0,0,,,,,P2O5_rate_kg_ha,0,0,,,,,K2O_rate_kg_ha,0,0,,,,,latitude,6,1,28.5,28.5,28.5,,longitude,6,1,81.783333,81.783333,81.783333,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,True,True,False,True,True,True,n_rate,review_core_fields
